country,year,co2,gdp_per_capita,renew_energy_cons,energy_intensity,foreign_direct_inv,labour_force_total,trade,urban,avg_gdp,income_level,years_available,gini_disp,reg_quality,was_missing,income_level_stable
Albania,1996,2.0549,1633.552,51.6,4.03,2.8159410758197,1345509,44.895444716607,193461.07483551034,3095.70474456,Lower-middle income,30,36.4,-0.47,FALSE,Lower-middle income
Albania,1997,1.5805,1464.297963,55.9,4.03,2.1031528051092,1360459,45.4255562530936,195844.24779463597,3095.70474456,Lower-middle income,30,36.5,-0.45499999999999996,TRUE,Lower-middle income
Albania,1998,1.9147,1603.64765,49.9,4.03,1.76789579262462,1344507,48.137534818941504,198252.43167519927,3095.70474456,Lower-middle income,30,36.7,-0.44,FALSE,Lower-middle income
Albania,1999,3.0866,1821.873131,42.6,4.03,1.28264133419298,1324627,51.0110303565873,200677.24547466548,3095.70474456,Lower-middle income,30,36.8,-0.43,TRUE,Lower-middle income
Albania,2000,3.2325,1960.88246,41.4,4.03,4.10877595525929,1313953,63.454073132628,108401.63758677375,3095.70474456,Lower-middle income,30,37,-0.42,FALSE,Lower-middle income
Albania,2001,3.4393,2143.526839,39,3.79,5.28543275433979,1300522,66.4910240323437,182622.06009914374,3095.70474456,Lower-middle income,30,37.1,-0.365,TRUE,Lower-middle income
Albania,2002,4.0064,2247.49808,35.8,4,3.10482707446756,1304298,68.5250682234387,167884.75834534917,3095.70474456,Lower-middle income,30,37.3,-0.31,FALSE,Lower-middle income
Albania,2003,4.2112,2380.644621,33.7,3.71,3.17270817814522,1290479,67.0205610427628,190351.23165259228,3095.70474456,Lower-middle income,30,37.4,-0.49,FALSE,Lower-middle income
Albania,2004,4.414,2522.449374,35.8,3.86,4.75017450889019,1275726,67.0471873068205,174701.29738724066,3095.70474456,Lower-middle income,30,37.5,-0.19,FALSE,Lower-middle income
Albania,2005,4.1485,2675.508637,36.8,3.66,3.25976769159645,1259700,70.8723467754672,177952.08934793572,3095.70474456,Lower-middle income,30,37.5,-0.4,FALSE,Lower-middle income
Albania,2006,4.1347,2851.367759,31.6,3.38,3.65485134325294,1241897,74.2670902393052,181013.17856876695,3095.70474456,Lower-middle income,30,37.6,-0.15,FALSE,Lower-middle income
Albania,2007,4.2444,3044.896617,32,3.04,6.10897966213633,1222005,83.2020801053931,204317.91297878587,3095.70474456,Lower-middle income,30,37.6,0.03,FALSE,Lower-middle income
Albania,2008,4.1946,3298.478908,35.8,2.94,9.6820708554375,1201455,77.4517514962857,186725.8882046756,3095.70474456,Lower-middle income,30,37.7,0.14,FALSE,Lower-middle income
Albania,2009,4.2746,3432.170872,37.1,2.91,11.1706432450789,1247208,75.0949144008056,210735.14717511265,3095.70474456,Lower-middle income,30,37.7,0.24,FALSE,Lower-middle income
Albania,2010,4.5569,3577.114325,37,2.78,9.13813124439238,1259163,76.5433902447878,175332.03614460095,3095.70474456,Lower-middle income,30,37.8,0.23,FALSE,Lower-middle income
Albania,2011,4.9882,3678.047701,35.8,2.83,8.13533613546751,1376922,81.218568933066,196385.75882738302,3095.70474456,Lower-middle income,30,37.8,0.28,FALSE,Lower-middle income
Albania,2012,4.5329,3736.34008,39.9,2.51,7.45135495532692,1317638,76.5102006210933,181881.41201936748,3095.70474456,Lower-middle income,30,37.9,0.24,FALSE,Lower-middle income
Albania,2013,4.7693,3780.699193,41.1,2.89,9.81628458243044,1217163,75.8737138467897,203651.7976240401,3095.70474456,Lower-middle income,30,38,0.25,FALSE,Lower-middle income
Albania,2014,5.0958,3855.760744,38.6,2.86,8.69303872198522,1244156,75.4078455964825,188310.7112518279,3095.70474456,Lower-middle income,30,38.2,0.28,FALSE,Lower-middle income
Albania,2015,4.8635,3952.803574,38.5,2.62,8.69053394301894,1295052,71.801006339647,150366.128048595,3095.70474456,Lower-middle income,30,38.1,0.17,FALSE,Lower-middle income
Albania,2016,4.5303,4090.372728,39.4,2.61,8.80509197849022,1341701,74.809862823171,194415.4896216209,3095.70474456,Lower-middle income,30,38.1,0.19,FALSE,Lower-middle income
Albania,2017,5.3415,4249.820049,36.9,2.64,7.85544826704409,1363232,78.1942495319136,217341.90982086974,3095.70474456,Lower-middle income,30,37.9,0.22,FALSE,Lower-middle income
Albania,2018,5.3056,4431.555595,37.8,2.53,7.83109066598543,1393620,75.6940706898154,220487.51010036483,3095.70474456,Lower-middle income,30,37.8,0.26,FALSE,Lower-middle income
Albania,2019,4.9535,4542.268663,40.1,2.45,7.70621785587149,1415825,75.3821602848745,248059.84484637177,3095.70474456,Lower-middle income,30,37.7,0.27,FALSE,Lower-middle income
Albania,2020,4.5608,4417.041051,44.4,2.34,7.01865154485077,1352399,59.5206994403142,250741.11749666382,3095.70474456,Lower-middle income,30,37.7,0.22,FALSE,Lower-middle income
Albania,2021,4.5608,4417.041051,44.4,2.34,7.01865154485077,1352399,59.5206994403142,250741.11749666382,3095.70474456,Lower-middle income,30,37.7,0.22,NA,Lower-middle income
Albania,2022,4.5608,4417.041051,44.4,2.34,7.01865154485077,1352399,59.5206994403142,250741.11749666382,3095.70474456,Lower-middle income,30,37.7,0.22,NA,Lower-middle income
Argentina,1996,126.5706,10352.14,8.6,3.69,2.55320340608332,15612527,21.5064684057215,5849407.8949500965,12018.43931336,Upper-middle income,30,44.9,0.52,FALSE,Upper-middle income
Argentina,1997,130.9264,11056.68813,9.7,3.69,3.12787793868196,16062098,23.3361788437439,5925174.803942656,12018.43931336,Upper-middle income,30,45.5,0.52,TRUE,Upper-middle income
Argentina,1998,138.0079,11348.20221,9.6,3.69,2.43876896154487,16388640,23.3500279730689,6000597.209440758,12018.43931336,Upper-middle income,30,46,0.52,FALSE,Upper-middle income
Argentina,1999,139.9387,10838.31993,8.8,3.69,8.46058217133806,16485080,21.3827449624898,6076170.816386866,12018.43931336,Upper-middle income,30,46.4,0.35,TRUE,Upper-middle income
Argentina,2000,136.7616,10631.65036,9.8,3.69,3.66579059535379,16660492,22.6224447777343,3619413.6874038544,12018.43931336,Upper-middle income,30,46.7,0.18,FALSE,Upper-middle income
Argentina,2001,131.3471,10051.94485,11.5,3.59,0.806164134759348,16712140,21.8522554515453,5661202.060502964,12018.43931336,Upper-middle income,30,47.1,-0.35000000000000003,TRUE,Upper-middle income
Argentina,2002,124.055,8861.561993,11.6,3.98,2.19895819502207,16524914,41.7527243585642,5255102.727204537,12018.43931336,Upper-middle income,30,47,-0.88,FALSE,Upper-middle income
Argentina,2003,135.2443,9545.531941,10.8,3.96,1.29481086883944,17006209,40.6447480311085,5806190.646870197,12018.43931336,Upper-middle income,30,46.4,-0.69,FALSE,Upper-middle income
Argentina,2004,149.7328,10302.44653,9.3,4.04,2.5050175164097,17502349,40.692646108947,5389865.210522663,12018.43931336,Upper-middle income,30,45.4,-0.7,FALSE,Upper-middle income
