Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,0.0292,0.0292,0.0292,0.0292,0.04,0.0453,0.0506,0.0614,0.0589,0.0555,0.0613,0.0473,0.0628,0.0604,0.087,0.0877,0.0813,0.0887,0.0796,0.0798,0.0694,0.0685,0.0625,0.0629,0,0,0.0079,0.0079,0.0086,0.0079,0.0079,0.038,0.0327,0.0361,0.0409,0.0503,0,0,0,0,0,0,0.0629,0.0552,0.0845,0.117,0.163,0.3113,0.1613,0.1513,0.0648,0.0467,0.0236,0.0151
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Albania,ALB,..,..,..,..,..,..,..,..,..,..,0.1133,0.1133,0.1133,0.1133,0.1136,0.1125,0.1278,0.1351,0.1696,0.168,0.163,0.1705,0.1678,0.1729,0.1776,0.1776,0.1776,0.1606,0.1691,0.193,0.1653,0.035,0.0233,0.0273,0.0315,0.0283,0.0154,0.0106,0.0388,0.0118,0.0166,0.0224,0.0517,0.0386,0.06,0.0103,0.0422,0.0418,0.0302,0.0267,0.0226,0.0302,0.0542,0.034,0.0535,0.0565,0.0474,0.0542,0.0465,0.0664,0.0606,0.0483,0.0485,0.049
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,0.2213,0.2213,0.2213,0.2213,0.1653,0.1719,0.1841,0.1799,0.1675,0.1646,0.2234,0.1658,0.13,0.1421,0.2294,0.2389,0.2611,0.2159,0.1254,0.1015,0.1383,0.0849,0.0896,0.1619,0.115,0.0192,0.0299,0.0314,0.0902,0.0841,0.0782,0.0782,0.1141,0.1116,0.0361,0.0338,0.0393,0.0314,0.0173,0.0273,0.0595,0.067,0.0843,0.1093,0.1901,0.2113,0.1743,0.1745,0.2589,0.2063,0.1575,0.1117,0.101,0.0931
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,0.1043,0.1043,0.1043,0.1043,0.0872,0.0773,0.0701,0.1111,0.118,0.1378,0.1373,0.0943,0.0982,0.1156,0.1785,0.1792,0.159,0.1607,0.1745,0.1701,0.1751,0.1668,0.2572,0.2819,0.4687,0.5434,0.8232,0.787,0.6774,0.7335,0.7621,0.869,0.8453,1.1625,1.3602,1.0349,1.2444,1.3638,0.9172,0.8071,1.0345,1.1154,0.9247,1,1.1466,0.8923,1.3858,1.2784,1.5921,1.7031,1.9255,2.1242,2.2706,2.4059
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,0.0553,0.0553,0.0553,0.0553,0.06,0.06,0.0634,0.0712,0.0729,0.075,0.077,0.0772,0.0771,0.0821,0.0821,0.084,0.0872,0.0893,0.0829,0.0676,0.0634,0.0593,0.0551,0.051,0.0468,0.0426,0.0385,0.0251,0.0302,0.0192,0.022,0.0157,0.0138,0.0047,0.0497,0.0446,0,0.0226,0.0113,0.014,0.011,0.011,0.0189,0.0328,0.0352,0.0339,0.0394,0.0525,0.0511,0.061,0.0558,0.0446,0.0449,0.0452
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
